order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
113-8388328-9690645	33139691237130	1	2019-05-10	FedEx	FedEx	478432008635	FedEx
113-8388328-9690645	33139691237130	1	2019-05-10	FedEx	FedEx	478432008635	FedEx
113-8388328-9690645	33139691237130	1	2019-05-10	FedEx	FedEx	478432008635	FedEx
114-5038589-8577859	02652612642114	1	2019-05-10	FedEx	FedEx	478432009745	FedEx
112-0233084-6006637	40768056287386	1	2019-05-13	FedEx	FedEx	478432008771	FedEx
111-8983383-6898621	64877814563098	1	2019-05-13	FedEx	FedEx	478432008749	FedEx
113-9188979-3244221	64386274175810	1	2019-05-13	FedEx	FedEx	478432008598	FedEx
114-8471869-9132228	44406281493770	1	2019-05-13	FedEx	FedEx	478432008679	FedEx
114-8471869-9132228	44406281493770	1	2019-05-13	FedEx	FedEx	478432008679	FedEx
114-8471869-9132228	44406281493770	1	2019-05-13	FedEx	FedEx	478432008679	FedEx
114-8471869-9132228	44406281493770	1	2019-05-13	FedEx	FedEx	478432008679	FedEx
112-2193483-8934668	54210210092514	1	2019-05-13	FedEx	FedEx	478432008760	FedEx
111-8360590-3171467	11476525381354	1	2019-05-13	FedEx	FedEx	478432008727	FedEx
113-5775440-5824264	49484402041010	1	2019-05-13	FedEx	FedEx	478432009778	FedEx
111-8190329-4292214	63335532125074	1	2019-05-13	FedEx	FedEx	478432008738	FedEx
111-7559327-1316228	16594334627282	1	2019-05-13	FedEx	FedEx	478432008750	FedEx
111-0295552-5412223	30200723713098	1	2019-05-13	FedEx	FedEx	478432008587	FedEx
114-7016258-3584268	01202701745074	1	2019-05-13	FedEx	FedEx	478432008602	FedEx
111-9807046-3039461	40233988035258	1	2019-05-13	FedEx	FedEx	478432008613	FedEx
114-1595986-9510668	23922069446218	1	2019-05-13	FedEx	FedEx	478432008565	FedEx
111-6861293-7478657	40283400061138	1	2019-05-13	FedEx	FedEx	478432009789	FedEx
111-5488844-3037801	24356285523802	1	2019-05-13	FedEx	FedEx	478432008690	FedEx
114-3346982-4073027	01968049834362	1	2019-05-13	FedEx	FedEx	478432008624	FedEx
113-6327521-7088264	08953356678970	1	2019-05-13	FedEx	FedEx	478432008473	FedEx
111-9190809-8764203	34955708619138	1	2019-05-13	FedEx	FedEx	478432008576	FedEx
111-3269297-2053025	44332834113658	1	2019-05-13	FedEx	FedEx	478432008657	FedEx
111-3269297-2053025	44332834113658	1	2019-05-13	FedEx	FedEx	478432008657	FedEx
111-3269297-2053025	44332834113658	1	2019-05-13	FedEx	FedEx	478432008657	FedEx
111-3269297-2053025	44332834113658	1	2019-05-13	FedEx	FedEx	478432008657	FedEx
114-5923028-0963429	03946956269506	1	2019-05-13	FedEx	FedEx	478432008874	FedEx
112-5809169-6165840	05372131002802	1	2019-05-13	FedEx	FedEx	478432008484	FedEx
113-2813729-6033063	55000414622570	2	2019-05-14	FedEx	FedEx	478432009756	FedEx
112-5506419-0594642	20631909464746	1	2019-05-14	FedEx	FedEx	478432009734	FedEx
111-1469827-7330645	15075490793978	1	2019-05-14	FedEx	FedEx	478432009767	FedEx
111-0906368-4963401	47816349587738	1	2019-05-14	FedEx	FedEx	478432008852	FedEx
112-1430340-2161043	47832791915122	1	2019-05-14	FedEx	FedEx	478432008896	FedEx
113-0966185-0554650	53366967467778	1	2019-05-14	FedEx	FedEx	478432008863	FedEx
113-0966185-0554650	53366967467778	1	2019-05-14	FedEx	FedEx	478432008863	FedEx
113-0966185-0554650	53366967467778	1	2019-05-14	FedEx	FedEx	478432008863	FedEx
113-0966185-0554650	53366967467778	1	2019-05-14	FedEx	FedEx	478432008863	FedEx
111-0073691-4195443	17045407227306	1	2019-05-14	FedEx	FedEx	478432008885	FedEx
113-1773562-2448230	47579756689026	1	2019-05-14	FedEx	FedEx	478432008841	FedEx
